Student_ID,Branch,Python_Score,SQL_Score,Aptitude_Score,Communication_Score,Projects_Completed,Mock_Interviews_Attended,Total_Score,Average_Score,Weakest_Skill_Score,Readiness_Score,Readiness_Band
S0040,IT,93,82,74,48,3,7,297,74.25,48,87.25,Ready
S0041,CSE,47,54,44,46,1,0,191,47.75,44,49.75,Needs Work
S0042,CSE,80,55,76,46,2,3,257,64.25,46,71.25,Almost Ready
S0043,IT,47,53,53,41,4,4,194,48.5,41,60.5,Almost Ready
S0044,IT,60,42,49,52,3,3,203,50.75,42,59.75,Needs Work
S0045,ECE,69,55,60,61,1,4,245,61.25,55,67.25,Almost Ready
S0046,ECE,68,50,38,75,0,2,231,57.75,38,59.75,Needs Work
S0047,MECH,66,82,65,44,4,5,257,64.25,44,77.25,Ready
S0048,IT,72,65,61,40,3,5,238,59.5,40,70.5,Almost Ready
S0049,ECE,74,90,66,65,4,2,295,73.75,65,83.75,Ready
S0050,CSE,48,54,45,38,2,5,185,46.25,38,55.25,Needs Work
S0051,IT,68,65,62,37,2,5,232,58.0,37,67.0,Almost Ready
S0052,CSE,65,78,51,30,3,1,224,56.0,30,63.0,Almost Ready
S0053,CSE,64,60,44,50,3,1,218,54.5,44,61.5,Almost Ready
S0054,CSE,77,71,61,19,0,3,228,57.0,19,60.0,Almost Ready
S0055,CSE,76,62,62,84,4,4,284,71.0,62,83.0,Ready
S0056,ECE,66,60,43,41,2,1,210,52.5,41,57.5,Needs Work
S0057,CSE,72,76,49,54,3,1,251,62.75,49,69.75,Almost Ready
S0058,ECE,78,64,48,46,4,6,236,59.0,46,73.0,Almost Ready
S0059,IT,91,55,69,67,4,2,282,70.5,55,80.5,Ready
S0060,IT,41,56,36,35,2,1,168,42.0,35,47.0,Needs Work
S0061,ECE,65,77,77,81,5,0,300,75.0,65,85.0,Ready
S0062,CSE,29,25,33,10,2,1,97,24.25,10,29.25,Needs Work
S0063,CSE,63,61,47,40,5,3,211,52.75,40,65.75,Almost Ready
S0064,ECE,25,36,45,28,1,3,134,33.5,25,38.5,Needs Work
S0065,MECH,71,53,55,52,2,0,231,57.75,52,61.75,Almost Ready
S0066,CSE,46,27,47,52,1,3,172,43.0,27,48.0,Needs Work
S0067,IT,61,39,56,40,2,7,196,49.0,39,60.0,Almost Ready
S0068,CSE,27,8,40,0,3,1,75,18.75,0,25.75,Needs Work
S0069,IT,87,78,76,75,3,2,316,79.0,75,87.0,Ready
S0070,IT,58,69,57,66,3,4,250,62.5,57,72.5,Almost Ready
S0071,IT,65,66,68,46,2,5,245,61.25,46,70.25,Almost Ready
S0072,MECH,83,66,66,68,3,0,283,70.75,66,76.75,Ready
S0073,IT,55,55,50,21,2,2,181,45.25,21,51.25,Needs Work
S0074,IT,78,82,83,46,1,5,289,72.25,46,79.25,Ready
S0075,CSE,81,81,73,76,3,2,311,77.75,73,85.75,Ready
S0076,CSE,50,73,63,60,4,0,246,61.5,50,69.5,Almost Ready
S0077,IT,68,51,64,44,2,6,227,56.75,44,66.75,Almost Ready
S0078,ECE,94,65,72,51,3,4,282,70.5,51,80.5,Ready
S0079,MECH,63,44,49,35,2,3,191,47.75,35,54.75,Needs Work
S0080,IT,68,66,66,14,3,4,214,53.5,14,63.5,Almost Ready
S0081,IT,22,49,29,11,2,1,111,27.75,11,32.75,Needs Work
S0082,CSE,64,78,56,69,6,4,267,66.75,56,82.75,Ready
S0083,ECE,61,68,70,62,4,4,261,65.25,61,77.25,Ready
S0084,IT,69,27,34,44,2,1,174,43.5,27,48.5,Needs Work
S0085,IT,77,100,59,52,3,4,288,72.0,52,82.0,Ready
S0086,CSE,57,52,67,23,4,3,199,49.75,23,60.75,Almost Ready
S0087,CSE,51,42,42,15,3,4,150,37.5,15,47.5,Needs Work
S0088,ECE,36,47,29,38,1,4,150,37.5,29,43.5,Needs Work
S0089,MECH,64,48,23,28,2,1,163,40.75,23,45.75,Needs Work
S0090,CSE,55,55,60,10,1,3,180,45.0,10,50.0,Needs Work
S0091,IT,59,61,52,29,0,4,201,50.25,29,54.25,Needs Work
S0092,IT,95,75,88,53,4,3,311,77.75,53,88.75,Ready
S0093,CSE,84,93,72,81,2,4,330,82.5,72,90.5,Ready
S0094,CSE,55,56,54,23,1,3,188,47.0,23,52.0,Needs Work
S0095,ECE,57,64,87,34,2,2,242,60.5,34,66.5,Almost Ready
S0096,CSE,23,42,11,0,2,2,76,19.0,0,25.0,Needs Work
S0097,CSE,74,67,46,30,3,3,217,54.25,30,63.25,Almost Ready
S0098,CSE,80,84,56,51,2,5,271,67.75,51,76.75,Ready
S0099,CSE,83,67,87,78,5,4,315,78.75,67,92.75,Ready
S0100,CSE,42,42,27,31,3,6,142,35.5,27,47.5,Needs Work
S0101,CSE,81,94,72,77,1,2,324,81.0,72,85.0,Ready
S0102,CSE,75,83,80,41,5,2,279,69.75,41,81.75,Ready
S0103,IT,68,69,53,31,2,3,221,55.25,31,62.25,Almost Ready
S0104,IT,92,69,78,55,4,2,294,73.5,55,83.5,Ready
S0105,CSE,72,56,72,47,2,3,247,61.75,47,68.75,Almost Ready
S0106,MECH,50,52,46,4,2,3,152,38.0,4,45.0,Needs Work
S0107,ECE,62,63,55,39,4,6,219,54.75,39,68.75,Almost Ready
S0108,CSE,86,82,88,67,3,2,323,80.75,67,88.75,Ready
S0109,IT,68,75,70,51,4,6,264,66.0,51,80.0,Ready
S0110,MECH,80,53,40,70,3,2,243,60.75,40,68.75,Almost Ready
S0111,CSE,49,58,42,1,1,5,150,37.5,1,44.5,Needs Work
S0112,CSE,97,65,76,74,2,7,312,78.0,65,89.0,Ready
S0113,CSE,60,69,64,29,0,3,222,55.5,29,58.5,Needs Work
S0114,ECE,53,67,55,69,3,1,244,61.0,53,68.0,Almost Ready
S0115,CSE,26,39,33,31,1,0,129,32.25,26,34.25,Needs Work
S0116,MECH,32,46,50,45,1,5,173,43.25,32,50.25,Needs Work
S0117,CSE,33,23,40,17,1,3,113,28.25,17,33.25,Needs Work
S0118,CSE,72,82,63,32,4,2,249,62.25,32,72.25,Almost Ready
S0119,CSE,50,18,43,28,2,1,139,34.75,18,39.75,Needs Work
S0120,CSE,39,36,30,15,2,1,120,30.0,15,35.0,Needs Work
